issuer,issue_date,listing_date,issue_price,listing_day_close,listing_day_return,status
BlueStone Jewellery and Lifestyle Limited,2025-08-11,2025-08-19,517.0,546.0,0.05609284332688588,listed_alive
ANB Metal Cast Limited,2025-08-08,2025-08-18,156.0,172.2,0.10384615384615377,listed_alive
Medistep Healthcare Limited,2025-08-08,2025-08-18,43.0,50.35,0.17093023255813958,listed_alive
All Time Plastics Limited,2025-08-07,2025-08-14,275.0,283.3,0.030181818181818223,listed_alive
JSW Cement Limited,2025-08-07,2025-08-14,147.0,146.07,-0.006326530612244944,listed_alive
Connplex Cinemas Limited,2025-08-07,2025-08-14,177.0,186.9,0.05593220338983054,listed_alive
Sawaliya Food Products Limited,2025-08-07,2025-08-14,120.0,239.4,0.995,listed_alive
Highway Infrastructure Limited,2025-08-05,2025-08-12,70.0,120.75,0.725,listed_alive
Knowledge Realty Trust,2025-08-05,2025-08-18,100.0,106.24,0.06239999999999995,listed_alive
Jyoti Global Plast Limited,2025-08-04,2025-08-11,66.0,65.8,-0.0030303030303030732,listed_alive
Bhadora Industries Limited,2025-08-04,2025-08-11,103.0,105.95,0.028640776699029154,listed_alive
Aaradhya Disposal Industries Limited,2025-08-04,2025-08-11,116.0,116.55,0.004741379310344803,listed_alive
Parth Electricals & Engineering Limited,2025-08-04,2025-08-11,170.0,182.7,0.07470588235294111,listed_alive
FlySBS Aviation Limited,2025-08-01,2025-08-08,225.0,448.85,0.994888888888889,listed_alive
Cash Ur Drive Marketing Limited,2025-07-31,2025-08-07,130.0,157.45,0.21115384615384605,listed_alive
Renol Polychem Limited,2025-07-31,2025-08-07,105.0,99.75,-0.05,listed_alive
M&B Engineering Limited,2025-07-30,2025-08-06,385.0,408.65,0.06142857142857137,listed_alive
National Securities Depository Limited,2025-07-30,,,,,listed_alive
Sri Lotus Developers and Realty Limited,2025-07-30,2025-08-06,150.0,195.67,0.3044666666666666,listed_alive
Laxmi India Finance Limited,2025-07-29,2025-08-05,158.0,134.11,-0.15120253164556954,listed_alive
Aditya Infotech Limited,2025-07-29,2025-08-05,675.0,1082.65,0.6039259259259261,listed_alive
Kaytex Fabrics Limited,2025-07-29,2025-08-05,180.0,150.6,-0.16333333333333336,listed_alive
Shanti Gold International Limited,2025-07-25,2025-08-01,199.0,229.38,0.15266331658291454,listed_alive
Sellowrap Industries Limited,2025-07-25,2025-08-01,83.0,94.5,0.13855421686746988,listed_alive
Brigade Hotel Ventures Limited,2025-07-24,2025-07-31,90.0,85.32,-0.052000000000000074,listed_alive
Indiqube Spaces Limited,2025-07-23,2025-07-30,237.0,217.97,-0.08029535864978904,listed_alive
GNG Electronics Limited,2025-07-23,2025-07-30,237.0,333.39,0.40670886075949364,listed_alive
TSC India Limited,2025-07-23,2025-07-30,70.0,71.4,0.02000000000000008,listed_alive
Savy Infra and Logistics Limited,2025-07-21,2025-07-28,120.0,143.3,0.19416666666666677,listed_alive
Sammaan Capital Limited,2025-07-15,2026-03-09,,,,listed_alive
Anthem Biosciences Limited,2025-07-14,2025-07-21,570.0,730.35,0.28131578947368424,listed_alive
Spunweb Nonwoven Limited,2025-07-14,2025-07-21,96.0,158.55,0.6515625000000002,listed_alive
Smartworks Coworking Spaces Limited,2025-07-10,2025-07-17,407.0,445.05,0.09348894348894352,listed_alive
Adani Enterprises Limited,2025-07-09,2026-02-10,450.0,1749.7,2.8882222222222222,listed_alive
